309,"3. (2018 xinjiang urumqi, 9,4 points) the hotel has 50 rooms for tourists to live in. when the price per room is 180 yuan per day, the hotel will be full; when the price per room per day increases by 10 yuan, one room will be free. if there are tourists living in, the hotel needs to pay 20 yuan per day for each room. when the price is set at how much, the profit of the hotel on the day is 10890 yuan? set the price as $x$ yuan, there is",1762,1786,449
2195,"let the function $f(x)=$$left{begin{array}{l}x^{2}-1(xgeqslant2),log{2}x(0<x<2),end{array}right.$ if $f(m)=3$, then the value of the real number $m$ is",469,,639
777,the square root of $3$ is,2045,1041,1042
2164,"6. at 4:30 on november 24, 2020, china successfully launched the chang'e-5 probe with the long march-5 yao-5 carrier rocket at wenchang space launch site. in the early morning of december 17, the chang'e-5 returner carried lunar samples from siziwang banner, inner mongolia the planned area landed safely, and the three-step lunar exploration plan of ""circling, landing, and returning"" came to a perfect conclusion, which laid a solid foundation for china's future lunar and planetary exploration. use the formula $v=v{0}cdotlnfrac{m}{m}$ to calculate the maximum speed of the rocket $v(mathrm{~m}/mathrm{s})$, where $v{0}(mathrm{~m} /mathrm{s})$ is the relative velocity of the goo, $m(mathrm{~kg})$ is the mass of the rocket $($except propulsion$)$, $m(mathrm{~kg})$ is the propellant the sum of the mass of the rocket, $frac{m}{m}$ is called the ""total mass ratio"". if the relative velocity of the jet of the $mathrm{a}$ type rocket is $1000mathrm{~m}/mathrm{s}$ , when the total mass ratio is 500, the maximum speed of the $mathrm{a}$ rocket is about $(lgmathrm{e}approx0.434,lg2approx0.301)",289,296,
3112,"""$alpha=frac{pi}{3}+kpi(kinmathbf{z})$"" is ""$tanleft(alpha-frac{pi}{6}right)=frac{sqrt{3}}{3}$, of",1192,134,639
3456,"the known function $f(x)=sin(omegax+varphi)left(omega>0,|varphi|leqfrac{pi}{2}right), x=-frac{pi}{4}$ is $f(x )$, $x=frac{pi}{4}$ is the symmetry axis of $y=f(x)$ image, and $f(x)$ is in $left(frac{pi}{18}, frac{5pi}{36}right)$ is monotonic, then the maximum value of $omega$ is $(quad)$",1192,645,639
973,"as shown in the figure, 5 squares of the same size are placed in the plane rectangular coordinate system. if the coordinates of the vertices $m and n$ are $(3,9), (12,9)$ respectively, then the coordinates of the vertex $a$ for",1100,1100,
1536,"as shown in the figure, the image of the proportional function $y=mx(mneq0)$ and the inverse proportional function $y=frac{n}{x}(nneq0)$ intersect at two points $a and b$, if the coordinates of the point $a$ is $left(-frac{3}{2},2right)$, then the coordinate of point $b$ is $underline{qquad}$",2072,430,2073
2232,"if $tanalpha=2tanfrac{pi}{5}$, then $frac{cosleft(alpha-frac{3pi}{10}right)}{sinleft(alpha-frac{pi}{5}right)}=$",639,1192,
872,"the combination of numbers and shapes is a common way of thinking to solve mathematical problems. as shown in the figure, the straight line $y=x+5$ and the straight line $y=ax+b$ intersect at the point $p$. according to the image, the equation $x+5= the solution for ax+b$ is",1736,1742,261
3472,"it is known that $p(1,2)$ is the highest point of the graph of the function $f(x)=asin(omegax+varphi)(a>0, omega>0)$, and $b and c$ are related to $p $adjacent two lowest points, set $anglebpc=theta$, if $tanfrac{theta}{2}=frac{3}{4}$, then the center of symmetry of the $f(x)$ image can be $ (quad)$",1192,2243,639
134,the following calculation is correct,165,956,
3850,"10. the following functions are even functions, and monotonically increasing on the interval $(0,1)$ is $=$",639,1121,641
3851,"11. the eccentricity of the known hyperbola $c:frac{x^{2}}{4}-frac{y^{2}}{b^{2}}=1(b>0)$ is $frac {sqrt{5}}{2}$, then $(quad)$",1375,,
2120,"9. if the non-zero real numbers $a, b$ satisfy $a>b$, then the following conclusion is correct is $quad(quad)$",39,708,
2399,"the function $f(x)=sin(2x+theta)+cos^{2}x$, if the maximum value of $f(x)$ is $g(theta)$, and the minimum value is $g(theta)$, then the following options are wrong for $quad$($quad$)",1192,901,2243
